year,month,total_games,total_wins,win_rate,win_rate_100_base
2012,5,4.0,1.0,0.25,25.0
2020,11,10.0,0.0,0.0,0.0
2020,12,50.0,30.0,0.6,60.0
2021,1,352.0,174.0,0.4943181818181818,49.43181818181818
2021,2,133.0,65.0,0.48872180451127817,48.87218045112782
2021,3,78.0,38.0,0.48717948717948717,48.717948717948715
2021,4,189.0,86.0,0.455026455026455,45.5026455026455
2021,5,192.0,89.0,0.4635416666666667,46.35416666666667
2021,6,161.0,77.0,0.4782608695652174,47.82608695652174
2021,7,165.0,79.0,0.47878787878787876,47.878787878787875
2021,8,213.0,101.0,0.47417840375586856,47.417840375586856
2021,9,319.0,161.0,0.5047021943573667,50.470219435736674
2021,10,229.0,101.0,0.4410480349344978,44.10480349344978
2021,11,210.0,99.0,0.4714285714285714,47.14285714285714
2021,12,151.0,75.0,0.4966887417218543,49.668874172185426
2022,1,186.0,94.0,0.5053763440860215,50.53763440860215
2022,2,91.0,43.0,0.4725274725274725,47.25274725274725
2022,3,196.0,94.0,0.47959183673469385,47.95918367346938
2022,4,248.0,114.0,0.4596774193548387,45.96774193548387
2022,5,168.0,89.0,0.5297619047619048,52.976190476190474
2022,6,297.0,146.0,0.49158249158249157,49.158249158249156
2022,7,182.0,91.0,0.5,50.0
2022,8,111.0,45.0,0.40540540540540543,40.54054054054054
2022,9,76.0,35.0,0.4605263157894737,46.05263157894737
2022,10,101.0,58.0,0.5742574257425742,57.42574257425742
2022,11,160.0,80.0,0.5,50.0
2022,12,157.0,69.0,0.4394904458598726,43.94904458598726
2023,1,153.0,78.0,0.5098039215686274,50.98039215686274
2023,2,117.0,56.0,0.47863247863247865,47.863247863247864
2023,3,91.0,49.0,0.5384615384615384,53.84615384615385
2023,4,225.0,114.0,0.5066666666666667,50.66666666666667
2023,5,342.0,163.0,0.4766081871345029,47.66081871345029
2023,6,106.0,52.0,0.49056603773584906,49.056603773584904
2023,7,132.0,62.0,0.4696969696969697,46.96969696969697
2023,8,46.0,19.0,0.41304347826086957,41.30434782608695
2023,9,15.0,6.0,0.4,40.0
2023,10,53.0,34.0,0.6415094339622641,64.15094339622641
2023,11,18.0,7.0,0.3888888888888889,38.88888888888889
2023,12,146.0,79.0,0.541095890410959,54.109589041095894
2024,1,52.0,21.0,0.40384615384615385,40.38461538461539
2024,2,38.0,13.0,0.34210526315789475,34.21052631578947
2024,3,16.0,6.0,0.375,37.5
2024,4,1.0,0.0,0.0,0.0
2024,5,11.0,4.0,0.36363636363636365,36.36363636363637
2024,6,8.0,6.0,0.75,75.0
2024,7,8.0,5.0,0.625,62.5
2024,8,8.0,2.0,0.25,25.0
2024,9,10.0,4.0,0.4,40.0
2024,10,29.0,11.0,0.3793103448275862,37.93103448275862
2024,11,65.0,29.0,0.4461538461538462,44.61538461538462
2024,12,12.0,8.0,0.6666666666666666,66.66666666666666
2025,1,196.0,97.0,0.49489795918367346,49.48979591836735
2025,2,382.0,191.0,0.5,50.0
2025,3,188.0,94.0,0.5,50.0
2025,4,320.0,158.0,0.49375,49.375
2025,5,160.0,87.0,0.54375,54.37499999999999
